date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-06-01,-54.3,-36.5,259539000,0.8266,0
2024-06-01,-54.3,-36.6,259539000,1.1824,0.8977
2024-06-01,-54.3,-53.7,441389000,3.7763,3.0247
2024-06-01,-54.3,-35.3,665111130,0.57,0
2024-06-01,-54.3,-62.6,701000627,0.2219,0
2024-06-01,-54.3,-62.5,701000627,0.5349,0
2024-06-01,-54.3,-73.9,725000261,1.1244,1.1244
2024-06-01,-54.3,-73.8,725000261,0.5272,0.5272
2024-06-01,-54.3,-74,725000261,0.5675,0.5675
2024-06-01,-54.3,-74,725002300,1.3947,1.3324
2024-06-01,-54.3,-73.9,725002300,2.133,1.4408
2024-06-01,-54.3,-71,725002350,0.5188,0
2024-06-01,-54.2,-35.7,257400000,0.9772,0.9772
2024-06-01,-54.2,-36.3,259539000,1.0611,0
2024-06-01,-54.2,-36.5,259539000,0.0463,0
2024-06-01,-54.2,-36.2,259539000,0.4513,0
2024-06-01,-54.2,-35.7,259539000,0.9972,0
2024-06-01,-54.2,-36.4,259539000,0.948,0
2024-06-01,-54.2,-53.4,441389000,0.1905,0
2024-06-01,-54.2,-53.2,441389000,0.1661,0.1661
2024-06-01,-54.2,-53.5,441389000,0.5108,0
2024-06-01,-54.2,-53.7,441389000,4.3352,0.4752
2024-06-01,-54.2,-53.6,441389000,0.5086,0
2024-06-01,-54.2,-35.3,665111130,2.2655,1.5744
2024-06-01,-54.2,-62.4,701000627,0.8216,0
2024-06-01,-54.2,-62.5,701000627,0.1133,0
2024-06-01,-54.2,-74,725000261,2.8149,2.5888
2024-06-01,-54.2,-71,725002350,0.178,0
2024-06-01,-54.1,-35.9,259539000,0.3055,0
2024-06-01,-54.1,-36.1,259539000,0.7769,0
2024-06-01,-54.1,-36,259539000,0.7177,0
2024-06-01,-54.1,-36.2,259539000,0.4427,0
2024-06-01,-54.1,-35.7,259539000,0.913,0
2024-06-01,-54.1,-53.4,441389000,0.3038,0
2024-06-01,-54.1,-53.2,441389000,4.2247,3.8672
2024-06-01,-54.1,-53.9,441389000,0.2749,0.0472
2024-06-01,-54.1,-53.6,441389000,2.4113,2.3261
2024-06-01,-54.1,-53.1,441389000,1.3444,1.3444
2024-06-01,-54.1,-53.8,441389000,4.6083,2.0786
2024-06-01,-54.1,-53.7,441389000,0.493,0
2024-06-01,-54.1,-53.3,441389000,0.5172,0
2024-06-01,-54.1,-35.4,665111130,3.9827,2.2733
2024-06-01,-54.1,-35.3,665111130,1.438,1.2047
2024-06-01,-54.1,-62.3,701000627,0.3919,0
2024-06-01,-54.1,-74,725000261,1.5047,1.5047
2024-06-01,-54.1,-71,725002350,0.7438,0
2024-06-01,-54.1,-71.1,725002350,0.3419,0
2024-06-01,-54,-35.8,259539000,0.615,0
2024-06-01,-54,-35.9,259539000,0.4238,0
2024-06-01,-54,-35.7,259539000,0.4416,0
2024-06-01,-54,-53.6,441389000,0.1519,0.1519
2024-06-01,-54,-53.7,441389000,0.185,0
2024-06-01,-54,-35.6,665111130,5.6322,5.0241
2024-06-01,-54,-35.5,665111130,5.2422,3.1747
2024-06-01,-54,-35.4,665111130,0.1955,0
2024-06-01,-54,-62.3,701000627,0.153,0
2024-06-01,-54,-62.2,701000627,0.7163,0
2024-06-01,-54,-74.2,725000261,0.13,0.13
2024-06-01,-54,-74,725000261,0.9494,0.9494
2024-06-01,-54,-74.1,725000261,1.2661,1.2661
2024-06-01,-54,-71.1,725002350,0.6666,0
2024-06-01,-53.9,-35.6,665111130,3.7063,2.5327
2024-06-01,-53.9,-35.5,665111130,0.083,0
2024-06-01,-53.9,-38.1,665111132,0.44,0
2024-06-01,-53.9,-62.1,701000627,0.5194,0
