image_id,detection_confidence,image_timestamp,detection_source,mmsi,vessel_name,vessel_flag,vessel_type,vessel_id,detection_lat,detection_lon,fishing_event_lat,fishing_event_lon,event_start,event_end,event_id,event_type,event_duration_hours,potential_risk,is_high_risk,eez_regions,rfmo_regions,fao_regions,mpa_regions,distance_from_shore_km,distance_from_port_km,total_distance_km,average_speed_knots,ingested_at,fishing_processed_at,detection_processed_at,ship_image_url
59,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352775000,NAVIOS MELODIA,PAN,,352775000,23.2,-18.0,24.1,-17.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0059,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
60,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352929000,OREGON HIGHWAY,PAN,,352929000,24.2,-17.0,23.0,-17.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0060,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
61,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352980857,V ATLAS,PAN,,352980857,-33.3,17.299999237060547,-33.7,17.899999618530273,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0061,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
62,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,353997000,ONE MONACO,PAN,,353997000,-34.6,18.799999237060547,-34.9,20.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0062,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
63,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,357380000,MAIRA,PAN,,357380000,4.7,7.199999809265137,4.7,7.199999809265137,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0063,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
64,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,366909240,CONSTELLATION(RSD),USA,,366909240,54.1,-165.8000030517578,54.1,-165.8000030517578,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0064,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
65,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,366939960,RAVEN BAY,USA,,366939960,54.0,-166.60000610351562,53.9,-166.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0065,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
66,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,367081420,TUXEDNI,USA,,367081420,54.2,-166.10000610351562,54.1,-165.8000030517578,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0066,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
67,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,367372000,SEADAWN,USA,,367372000,53.9,-166.60000610351562,53.9,-166.60000610351562,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0067,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
68,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,367411770,ALEUTIAN BEAUTY,USA,,367411770,53.9,-166.60000610351562,53.9,-166.60000610351562,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0068,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
69,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,367488940,BRUIN,USA,,367488940,53.9,-166.60000610351562,53.9,-166.60000610351562,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0069,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
70,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,368087890,HALCYON,USA,,368087890,54.5,-165.0,54.5,-165.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0070,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
